Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747790706,"2025-05-21 01:25:06",B5740,CZ3401,8412.48,809.324,282,108.32167053223,26.003219604492
1747790721,"2025-05-21 01:25:21",B5740,CZ3401,8412.48,807.472,281,108.28845214844,26.008899688721
1747790736,"2025-05-21 01:25:36",B5740,CZ3401,8412.48,807.472,280,108.25497436523,26.014434814453
1747790751,"2025-05-21 01:25:51",B5740,CZ3401,8412.48,811.176,280,108.22228240967,26.019649505615
1747790766,"2025-05-21 01:26:06",B5740,CZ3401,8412.48,811.176,279,108.18885040283,26.024869918823
1747790781,"2025-05-21 01:26:21",B5740,CZ3401,8412.48,811.176,279,108.15544128418,26.029779434204
1747790796,"2025-05-21 01:26:36",B5740,CZ3401,8412.48,798.212,277,108.12226867676,26.03359413147
1747790811,"2025-05-21 01:26:51",B5740,CZ3401,8412.48,785.248,277,108.09052276611,26.036853790283
1747790826,"2025-05-21 01:27:06",B5740,CZ3401,8412.48,777.84,274,108.05825042725,26.039880752563
1747790841,"2025-05-21 01:27:21",B5740,CZ3401,8412.48,774.136,265,108.02587127686,26.038160324097
1747790852,"2025-05-21 01:27:32",B5740,CZ3401,8412.48,772.284,264,108.00437164307,26.036108016968
1747790866,"2025-05-21 01:27:46",B5740,CZ3401,8412.48,770.432,262,107.97220611572,26.032011032104
1747790881,"2025-05-21 01:28:01",B5740,CZ3401,8412.48,770.432,262,107.94114685059,26.027959823608
1747790896,"2025-05-21 01:28:16",B5740,CZ3401,8412.48,768.58,262,107.90917205811,26.023679733276
1747790911,"2025-05-21 01:28:31",B5740,CZ3401,8412.48,768.58,262,107.87766265869,26.019535064697
1747790926,"2025-05-21 01:28:46",B5740,CZ3401,8412.48,768.58,262,107.84602355957,26.015439987183
1747790941,"2025-05-21 01:29:01",B5740,CZ3401,8412.48,770.432,262,107.8150177002,26.011339187622
1747790956,"2025-05-21 01:29:16",B5740,CZ3401,8412.48,770.432,261,107.78240966797,26.006881713867
1747790972,"2025-05-21 01:29:32",B5740,CZ3401,8412.48,770.432,261,107.75169372559,26.002540588379
1747790986,"2025-05-21 01:29:46",B5740,CZ3401,8412.48,768.58,261,107.71933746338,25.997909545898
1747791001,"2025-05-21 01:30:01",B5740,CZ3401,8412.48,763.024,274,107.68741607666,25.996536254883
1747791016,"2025-05-21 01:30:16",B5740,CZ3401,8412.48,761.172,278,107.6566696167,25.999799728394
1747791031,"2025-05-21 01:30:31",B5740,CZ3401,8412.48,761.172,277,107.62445068359,26.003335952759
1747791046,"2025-05-21 01:30:46",B5740,CZ3401,8412.48,759.32,285,107.59398651123,26.008346557617
1747791061,"2025-05-21 01:31:01",B5740,CZ3401,8412.48,757.468,288,107.56423950195,26.016952514648
1747791075,"2025-05-21 01:31:15",B5740,CZ3401,8412.48,755.616,288,107.53392028809,26.025741577148
1747791090,"2025-05-21 01:31:30",B5740,CZ3401,8412.48,755.616,298,107.50518035889,26.036853790283
1747791105,"2025-05-21 01:31:45",B5740,CZ3401,8412.48,753.764,299,107.47734832764,26.050399780273
1747791120,"2025-05-21 01:32:00",B5740,CZ3401,8412.48,755.616,298,107.45038604736,26.063507080078
1747791135,"2025-05-21 01:32:15",B5740,CZ3401,8412.48,753.764,298,107.42204284668,26.077167510986
1747791150,"2025-05-21 01:32:30",B5740,CZ3401,8412.48,753.764,298,107.39421081543,26.090574264526
1747791165,"2025-05-21 01:32:45",B5740,CZ3401,8412.48,753.764,298,107.36647796631,26.103879928589
1747791180,"2025-05-21 01:33:00",B5740,CZ3401,8412.48,751.912,298,107.33981323242,26.116640090942
1747791195,"2025-05-21 01:33:15",B5740,CZ3401,8412.48,751.912,298,107.31181335449,26.130004882812
1747791210,"2025-05-21 01:33:30",B5740,CZ3401,8412.48,751.912,298,107.28429412842,26.143203735352
1747791225,"2025-05-21 01:33:45",B5740,CZ3401,8412.48,751.912,298,107.25635528564,26.156539916992
1747791240,"2025-05-21 01:34:00",B5740,CZ3401,8412.48,751.912,298,107.22920227051,26.169389724731
1747791252,"2025-05-21 01:34:12",B5740,CZ3401,8412.48,750.06,297,107.21060180664,26.178085327148
1747791265,"2025-05-21 01:34:25",B5740,CZ3401,8412.48,757.468,297,107.18229675293,26.19126701355
1747791280,"2025-05-21 01:34:40",B5740,CZ3401,8412.48,770.432,298,107.15380096436,26.204681396484
