dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1747790646,1,108.45475769043,25.977918624878,0,14,846.364,0,0,0,8412.48
1747790661,1,108.42121887207,25.98438835144,0,14,829.696,0,0,0,8412.48
1747790676,1,108.3881072998,25.990631103516,0,14,816.732,0,0,0,8412.48
1747790691,1,108.35446166992,25.996959686279,0,14,811.176,0,0,0,8412.48
1747790706,1,108.32167053223,26.003219604492,0,14,809.324,0,0,0,8412.48
1747790721,1,108.28845214844,26.008899688721,0,14,807.472,0,0,0,8412.48
1747790736,1,108.25497436523,26.014434814453,0,14,807.472,0,0,0,8412.48
1747790751,1,108.22228240967,26.019649505615,0,14,811.176,0,0,0,8412.48
1747790766,1,108.18885040283,26.024869918823,0,14,811.176,0,0,0,8412.48
1747790781,1,108.15544128418,26.029779434204,0,14,811.176,0,0,0,8412.48
1747790796,1,108.12226867676,26.03359413147,0,14,798.212,0,0,0,8412.48
1747790811,1,108.09052276611,26.036853790283,0,14,785.248,0,0,0,8412.48
1747790826,1,108.05825042725,26.039880752563,0,14,777.84,0,0,0,8412.48
1747790841,1,108.02587127686,26.038160324097,0,14,774.136,0,0,0,8412.48
1747790852,1,108.00437164307,26.036108016968,0,14,772.284,0,0,0,8412.48
1747790866,1,107.97220611572,26.032011032104,0,14,770.432,0,0,0,8412.48
1747790881,1,107.94114685059,26.027959823608,0,14,770.432,0,0,0,8412.48
1747790896,1,107.90917205811,26.023679733276,0,14,768.58,0,0,0,8412.48
1747790911,1,107.87766265869,26.019535064697,0,14,768.58,0,0,0,8412.48
1747790926,1,107.84602355957,26.015439987183,0,14,768.58,0,0,0,8412.48
1747790941,1,107.8150177002,26.011339187622,0,14,770.432,0,0,0,8412.48
1747790956,1,107.78240966797,26.006881713867,0,14,770.432,0,0,0,8412.48
1747790972,1,107.75169372559,26.002540588379,0,14,770.432,0,0,0,8412.48
1747790986,1,107.71933746338,25.997909545898,0,14,768.58,0,0,0,8412.48
1747791001,1,107.68741607666,25.996536254883,0,14,763.024,0,0,0,8412.48
1747791016,1,107.6566696167,25.999799728394,0,14,761.172,0,0,0,8412.48
